text,section,header,div,p,s,id,match_test,has_F,match_es,has_es
"First, the main effect of boosting consensus reasoning on posterior beliefs, comparing the combined boost conditions (M = 14.84, SD = 58.06) with the consensus-only condition (M = 20.51, SD = 53.57), was not significant, F(1, 439) = 2.91, p = .089, η p 2 = .007, 90% CI = [.000, .025], BF 10 = 0.44.",results,Results,8,2,2,09567976211007788,"F(1, 439) = 2.91",TRUE,η p 2 = .007,TRUE
"There was also no significant difference between posterior beliefs in the boost+ condition (M = 9.44, SD = 58.56) and the boost condition (M = 20.17, SD = 57.25), F(1, 293) = 3.03, p = .083, η p 2 = .010, 90% CI = [.000, .037], BF 10 = 0.54.",results,Results,8,2,3,09567976211007788,"F(1, 293) = 3.03",TRUE,η p 2 = .010,TRUE
"The difference between posterior belief in the boost+ condition (M = 2.62, SD = 58.59) and posterior belief in the consensus-only condition (M = 18.93, SD = 51.80) was significant, F(1, 559) = 16.90, p < .001, η p 2 = .029, 90% CI = [.011, .056], BF 10 = 309.98.",results,Results,11,1,4,09567976211007788,"F(1, 559) = 16.90",TRUE,η p 2 = .029,TRUE
"This effect was also significant (control: M = 30.91, SD = 43.66), F(1, 571) = 10.58, p = .001, η p 2 = .018, 90% CI = [.004, .040], BF 10 = 15.45.",results,Results,11,1,7,09567976211007788,"F(1, 571) = 10.58",TRUE,η p 2 = .018,TRUE
"This revealed a strong main effect of target type, F(1, 825) = 54.64, p < .001, η p 2 = .063, qualified by a significant but much smaller interaction, F(1, 825) = 4.73, p = .030, η p 2 = .006.",results,Results,24,2,2,09567976211011969,"F(1, 825) = 54.64; F(1, 825) = 4.73",TRUE,η p 2 = .063; η p 2 = .006,TRUE
"Following our preregistration, we next conducted a five-level one-way ANOVA including the baseline condition, F(4, 1033) = 15.96, p < .001, η p 2 = .06; Table 5 displays these comparisons, which support the same conclusions as reported in our meta-analysis above.",results,Results,24,3,1,09567976211011969,"F(4, 1033) = 15.96",TRUE,η p 2 = .06,TRUE
"Overall, participants preferred targets who sought rather than avoided views that participants themselves disagreed with, F(1, 574) = 21.15, p < .001, η p 2 = .036, and preferred targets who were more committed to their side, F(2, 574) = 10.55, p < .001, η p 2 = .036 (see Fig.",results,Results,28,2,1,09567976211011969,"F(1, 574) = 21.15; F(2, 574) = 10.55",TRUE,η p 2 = .036; η p 2 = .036,TRUE
"Critically, these effects were qualified by a significant interaction, F(2, 574) = 6.15, p = .002, η p 2 = .021.",results,Results,28,2,3,09567976211011969,"F(2, 574) = 6.15",TRUE,η p 2 = .021,TRUE
"For data time-locked to template A (Fig. 5, left), mean phase angles were highly similar, and the Watson-Williams test yielded no significant difference, F(1, 48) = 0.46, p = .499.",results,Results,7,4,3,09567976211013045,"F(1, 48) = 0.46",TRUE,,FALSE
"This phase difference was significant, F(1, 48) = 36.35, p < .001, and further exceeded the significance threshold derived from our surrogate data (p < .001).",results,Results,7,4,5,09567976211013045,"F(1, 48) = 36.35",TRUE,,FALSE
"For data relative to both template A and template B, we observed a significant main effect of time, F(69, 1656) = 3.80, p < .001, η p 2 = .14, and F(69, 1656) = 1.46, p = .009, η p 2 = .06, respectively, as well as a significant interaction between time and target type, F(69, 1656) = 2.49, p < .001, η p 2 = .13, and F(69, 1656) = 4.15, p < .001, η p 2 = .16, respectively.",results,Results,7,5,2,09567976211013045,"F(69, 1656) = 3.80; F(69, 1656) = 1.46; F(69, 1656) = 2.49; F(69, 1656) = 4.15",TRUE,η p 2 = .14; η p 2 = .06; η p 2 = .13; η p 2 = .16,TRUE
"Using Pillai's trace, this analysis revealed a main effect of veracity, V = .37, F(103, 365) = 2.10, p < .001 (two-sided, as are all the tests reported in this article), η p 2 = .37.",results,Results,5,1,4,09567976211015941,"F(103, 365) = 2.10",TRUE,η p 2 = .37,TRUE
"Two separate repeated measures ANOVAs to evaluate this indicated that the interaction between OOC and SOC was statistically significant in younger adults, F(1, 49) = 41.38, p < .001, η p 2 = .458, but not older adults, F(1, 49) = 1.95, p = .169.",results,How do different sources of conflict differentially affect older-adult performance in false-belief tasks?,14,2,3,09567976211017870,"F(1, 49) = 41.38; F(1, 49) = 1.95",TRUE,η p 2 = .458,TRUE
"The interaction between KoR on SOC in younger adults was statistically significant in RT, F(1, 49) = 15.45, p < .001, η p 2 = .240, but not in younger adults' accuracy, F(1, 49) = .04, p = .836, η p 2 = .001.",results,How do different sources of conflict differentially affect older-adult performance in false-belief tasks?,14,3,3,09567976211017870,"F(1, 49) = 15.45; F(1, 49) = .04",TRUE,η p 2 = .240; η p 2 = .001,TRUE
"Conversely, the interaction between KoR and SOC was nonsignificant in older adults' RTs, F(1, 49) = 0.00, p = .949, η p 2 = .000, but significant in older adults' accuracy, F(1, 49) = 9.07, p = .004, η p 2 = .156.",results,How do different sources of conflict differentially affect older-adult performance in false-belief tasks?,14,3,4,09567976211017870,"F(1, 49) = 0.00; F(1, 49) = 9.07",TRUE,η p 2 = .000; η p 2 = .156,TRUE
"There was a significant main effect of target gender, F(1, 90) = 19.12, p < .001, η p 2 = .18, and target race, F(1.80, 161.94) = 26.27, p < .001, η p 2 = .23, qualified by a marginally significant Gender × Race interaction, F(2, 180) = 2.59, p = .078, η p 2 = .03 (Table 1, left).",results,Results,9,12,2,09567976211024259,"F(1, 90) = 19.12; F(2, 180) = 2.59",TRUE,η p 2 = .18; η p 2 = .23; η p 2 = .03,TRUE
"There was a significant main effect of target gender on the correlations of trait pairs, F(1, 90) = 4.98, p = .028, η p 2 = .05, and a significant main effect of target race, F(1.83, 164.83) = 9.72, p < .001, η p 2 = .10, qualified by a significant Gender × Race interaction, F(1.85, 166.86) = 26.09, p < .001, η p 2 = .23 (Table 1, right).",results,Results,9,12,10,09567976211024259,"F(1, 90) = 4.98",TRUE,η p 2 = .05; η p 2 = .10; η p 2 = .23,TRUE
"This analysis yielded no significant interaction between headline veracity and treatment, β = 0.0046, 95% confidence interval (CI) = [-0.016, 0.026], F(3, 21030) = 1.53, p = .67 (see Table S5 in the Supplemental Material).",results,Stage 1,9,1,3,09567976211024535,"F(3, 21030) = 1.53",TRUE,,FALSE
"4 In addition, to ensure this was not due to minor differences in the clustering algorithm, we ran the same analysis using STATA's reghdfe package (which uses high-dimensional fixedeffects linear regression; Correia, 2016), and these also yielded no significant interaction between headline veracity and treatment, β = 0.0046, 95% CI = [-0.018, 0.027], F(3, 21030) = 1.53, p = .68 (see also Table S5).",results,Stage 1,9,1,4,09567976211024535,"F(3, 21030) = 1.53",TRUE,,FALSE
"This analysis yielded a significant interaction effect between headline veracity and treatment, β = 0.015, 95% CI = [0.0027, 0.027], F(3, 47490) = 4.52, p = .017; treatment-group effect size: d = -0.14, 95% CI = [-0.17, -0.12] (see Table S6 in the Supplemental Material).",results,Stage 2,10,2,1,09567976211024535,"F(3, 47490) = 4.52",TRUE,,FALSE
"Doing so also yielded a significant (uncorrected) effect for the interaction of headline veracity and treatment, β = 0.015, 95% CI = [0.0020, 0.028], F(3, 47490) = 4.52, p = .026 (see Table S6).",results,Stage 2,10,3,3,09567976211024535,"F(3, 47490) = 4.52",TRUE,,FALSE
"A linear regression showed that the interaction among treatment, condition, and headline order (1-30) was marginal, β = -0.00066, 95% CI = [-0.013, -0.00043], F(7, 47490) = 4.49, p = .052.",results,Stage 2,10,5,6,09567976211024535,"F(7, 47490) = 4.49",TRUE,,FALSE
"Unlike the target study, our study found that the accuracy nudge was no longer significant for participants who passed two or more attention checks, β = 0.0135, 95% CI = [-0.00084, 0.028], F(3, 36930) = 3.66, p = .065; this was also the case for attentive participants who passed all three attention checks, β = 0.0065, 95% CI = [-0.021, 0.033], F(3, 13290) = 3.87, p = .64 (see Table S7 in the Supplemental Material).",results,Stage 2,10,6,2,09567976211024535,"F(3, 36930) = 3.66; F(3, 13290) = 3.87",TRUE,,FALSE
"However, we found no significant three-way interaction among condition, sharing discernment, and attentiveness, β = -0.029, 95% CI = [-0.088, 0.030], F(7, 47490) = 17.91, p = .337.",results,Stage 2,10,6,3,09567976211024535,"F(7, 47490) = 17.91",TRUE,,FALSE
"We found a significant effect of treatment on sharing discernment for Democrats, β = 0.0195, 95% CI = [0.0037, 0.035], F(3, 32910) = 6.74, p = .016, but not for Republicans, β = 0.00764, 95% CI = [-0.0073, 0.023], F(3, 14580) = 0.36, p = .315.",results,Stage 2,10,7,2,09567976211024535,"F(3, 32910) = 6.74; F(3, 14580) = 0.36",TRUE,,FALSE
"Furthermore, we found that the nudge was effective for participants who did not vote for Donald Trump in the 2016 elections, β = 0.0231, 95% CI = [0.079, 0.039], F(3, 32490) = 6.58, p = .003, but not for participants who did vote for Trump, β = 0.00376, 95% CI = [-0.013, 0.020], F(3, 15000) = 0.12, p = .653.",results,Stage 2,10,7,3,09567976211024535,"F(3, 32490) = 6.58; F(3, 15000) = 0.12",TRUE,,FALSE
"As expected, we found significant main effects of both frame, F(1, 44) = 76.00, p < .001, η G 2 = .27, and time constraint, F(1, 44) = 34.74, p < .001, η G 2 = .06, which were qualified by a significant Frame × Time Constraint interaction, F(1, 44) = 57.06, p < .001, η G 2 = .06; the framing effect was larger when participants had limited time (gain: M = .34, SD = .17; loss: M = .64, SD = .18), t(44) = 10.18, p < .001, d = 1.52, 95% confidence interval (CI) = [1.08, 1.95], than when they had unlimited time (gain: M = .52, SD = .19; loss: M = .64, SD = .17), t(44) = 5.05, p < .001, d = 0.75, 95% CI = [0.42, 1.09], to make a decision (see Fig. 2a).",results,Effects of time constraint on choice,9,1,2,09567976211026983,"F(1, 44) = 76.00; F(1, 44) = 34.74; F(1, 44) = 57.06",TRUE,,FALSE
"Consistent with predictions, results mirrored the choice patterns above, revealing main effects of both frame, F(1, 39) = 74.32, p < .001, η G 2 = .31, and time constraint, F(1, 39) = 9.09, p = .005, η G 2 = .01, which were qualified by a significant interaction, F(1, 39) = 20.63, p < .001, η G 2 = .03.",results,Effects of Frame × Time Constraint interactions on early attention,10,1,5,09567976211026983,"F(1, 39) = 74.32; F(1, 39) = 9.09; F(1, 39) = 20.63",TRUE,,FALSE
"Consistent with this theorizing, results of exploratory analyses showed that identity reframing increased participants' refugee identification (M = 4.52, SD = 1.36) relative to the study-skills control condition (M = 3.92, SD = 1.26), F(1, 83) = 4.37, p = .040, d = 0.46, 95% CI = [0.02, 0.90].",results,Results,5,6,4,09567976211028978,"F(1, 83) = 4.37",TRUE,,FALSE
"Preliminary analyses revealed no effect of model pair, F(3, 75) = 0.72, p = .544, η p 2 = .03, or learning order (high variability first or low variability first), F(3, 75) = 0.01, p = .957, η p 2 = .01, on the mean area-weighted fixations for high-variability and low-variability videos; therefore, data were collapsed across testing orders and model pairs for further analyses.",results,Familiarization phase (dynamic video),12,3,1,09567976211030630,"F(3, 75) = 0.72; F(3, 75) = 0.01",TRUE,η p 2 = .03; η p 2 = .01,TRUE
"We found significant main effects of AOI, F( 1 Although the AOI × Variability × Age interaction was significant, F(1, 81) = 6.53, p = .012, η p 2 = .08, follow-up tests confirmed a similar effect in both age groups, whereby variability type influenced participants' fixations on the face region (ps < .001) but not on the nonface region (ps > .900).",results,Familiarization phase (dynamic video),12,4,4,09567976211030630,"F(1, 81) = 6.53",TRUE,η p 2 = .08,TRUE
"There was also a significant interaction between AOI and age, F(1, 81) = 97.84, p < .001, η p 2 = .55.",results,Familiarization phase (dynamic video),12,4,8,09567976211030630,"F(1, 81) = 97.84",TRUE,η p 2 = .55,TRUE
"There was a significant Age × Segment interaction, F(2, 162) = 6.39, p = .002, η p 2 = .07, and a significant Segment × Variability interaction, F(2, 162) = 24.89, p < .001, η p 2 = .24.",results,Familiarization phase (dynamic video),12,5,6,09567976211030630,"F(2, 162) = 6.39; F(2, 162) = 24.89",TRUE,η p 2 = .07; η p 2 = .24,TRUE
"These effects were qualified by the significant Age × Segment × Variability interaction, F(2, 162) = 5.11, p = .007, η p 2 = .06.",results,Familiarization phase (dynamic video),12,5,7,09567976211030630,"F(2, 162) = 5.11",TRUE,η p 2 = .06,TRUE
"We found significant main effects of AOI, F(1, 81) = 24.99, p < .001, η p 2 = .24; variability type, F(1, 81) = 13.60, p < .001, η p 2 = .14; and age group, F(1, 81) = 36.18, p < .001, η p 2 = .31.",results,Familiarization phase (dynamic video),12,7,3,09567976211030630,"F(1, 81) = 24.99; F(1, 81) = 13.60; F(1, 81) = 36.18",TRUE,η p 2 = .24; η p 2 = .14; η p 2 = .31,TRUE
"Importantly, we found a significant AOI × Variability interaction, F(2, 160) = 4.57, p = .012, η p 2 = .05; a significant AOI × Age interaction, F(2, 160) = 6.72, p = .002, η p 2 = .08; and a significant AOI × Variability × Age interaction, F(2, 160) = 5.22, p = .006, η p 2 = .06.",results,Familiarization phase (dynamic video),12,7,6,09567976211030630,"F(2, 160) = 4.57; F(2, 160) = 6.72; F(2, 160) = 5.22",TRUE,η p 2 = .05; η p 2 = .08; η p 2 = .06,TRUE
"Follow-up tests revealed that the AOI × Variability interaction was significant for adults, F(2, 94) = 8.10, p = .001, η p 2 = .15, but not for infants, F(2, 68) = 0.34, p = .710, η p 2 = .01.",results,Familiarization phase (dynamic video),12,7,7,09567976211030630,"F(2, 94) = 8.10; F(2, 68) = 0.34",TRUE,η p 2 = .15; η p 2 = .01,TRUE
"In a 2 (age) × 2 (variability) mixed ANOVA, we found a significant main effect of age, F(1, 86) = 9.60, p = .003, η p 2 = .10, but no effect of variability or interactions with this factor (ps > .457).",results,Testing phase (static face pairs),13,2,1,09567976211030630,"F(1, 86) = 9.60",TRUE,η p 2 = .10,TRUE
", 81) = 671.33, p < .001, η p 2 = .89; variability, F(1, 81) = 37.14, p < .001, η p 2 = .31; and age, F(1, 81) = 94.61, p < .001, η p 2 = .54.",fig,,4,,1,09567976211030630,"F(1, 81) = 37.14; F(1, 81) = 94.61",TRUE,η p 2 = .89; η p 2 = .31; η p 2 = .54,TRUE
"Notably, we found a significant interaction between AOI and variability, F(1, 81) = 38.04, p < .001, η p 2 = .32.",fig,,4,,4,09567976211030630,"F(1, 81) = 38.04",TRUE,η p 2 = .32,TRUE
"A significant Novelty × Age interaction, F(1, 86) = 8.20, p = .005, η p 2 = .09, suggests that whereas adults fixated longer on facial features of the learned model (M = .72, SE = .04) than of the novel model (M = .53, SE = .03), t(47) = 3.01, p = .004, Cohen's d = 0.43, infants demonstrated a similar fixation duration for facial features of the learned model (M = .45, SE = .03) and novel model (M = .48, SE = t(39) = -0.79, p = .433, Cohen's d = 0.13.",fig,,8,,2,09567976211030630,"F(1, 86) = 8.20",TRUE,η p 2 = .09,TRUE
"There were main effects of search condition, F(1, 39) = 13.29, p < .001, η p 2 = .25, and target prevalence, F(1, 39) = 19.10, p < .001, η p 2 = .33.",results,Results,6,2,1,09567976211048485,"F(1, 39) = 13.29; F(1, 39) = 19.10",TRUE,η p 2 = .25; η p 2 = .33,TRUE
"Critically, there was a significant interaction, F(1, 39) = 9.99, p = .003, η p 2 = .204, indicating that the LPE depended on search condition (see Fig.",results,Results,6,2,2,09567976211048485,"F(1, 39) = 9.99",TRUE,η p 2 = .204,TRUE
"There were main effects of search condition, F(1, 38) = 30.15, p < .001, η p 2 = .44, and target prevalence, F(1, 38) = 6.53, p = .015, η p 2 = .15.",results,Results,8,1,3,09567976211048485,"F(1, 38) = 30.15; F(1, 38) = 6.53",TRUE,η p 2 = .44; η p 2 = .15,TRUE
"The interaction between search condition and target prevalence was marginally significant, F(1, 38) = 3.82, p = .058, η p 2 = .09, indicating that the LPE depended on search condition, although this interpretation should be made with caution (see Fig.",results,Results,8,1,4,09567976211048485,"F(1, 38) = 3.82",TRUE,η p 2 = .09,TRUE
"There was a main effect of target prevalence, F(1, 42) = 12.58, p < .001, η p 2 = .23.",results,Results,11,1,2,09567976211048485,"F(1, 42) = 12.58",TRUE,η p 2 = .23,TRUE
"There was no effect of search condition, F(1, 42) = 0.21, p = .645.",results,Results,11,1,3,09567976211048485,"F(1, 42) = 0.21",TRUE,,FALSE
"The interaction between search condition and target prevalence was significant, F(1, 42) = 4.13, p = .048, η p 2 = .09, replicating the effect that the LPE depended on search condition (see Fig.",results,Results,11,1,4,09567976211048485,"F(1, 42) = 4.13",TRUE,η p 2 = .09,TRUE
"Indeed, in the control condition, participants with positive self-views preferred positive over negative feedback, F(1, 168) = 18.40, p < .001, η p 2 = .10, whereas participants with negative self-views tended to prefer negative over positive feedback, F(1, 168) = 3.25, p = .073, η p 2 = .02 (all pairwise comparisons were Bonferroni corrected).",results,Results,6,4,3,09567976211049439,"F(1, 168) = 18.40; F(1, 168) = 3.25",TRUE,η p 2 = .10; η p 2 = .02,TRUE
"Interestingly, in this condition, participants with negative self-views were more willing to read positive (i.e., self-discrepant) than negative feedback, F(1, 168) = 6.18, p = .014, η p 2 = .04.",results,Results,6,4,5,09567976211049439,"F(1, 168) = 6.18",TRUE,η p 2 = .04,TRUE
"The interaction indicates that there was a significant difference between participants' willingness to read both feedback types in the control condition, F(1, 170) = 17.93, p < .001, η p 2 = .10; specifically, participants preferred self-verifying over self-discrepant feedback.",results,Results,6,6,2,09567976211049439,"F(1, 170) = 17.93",TRUE,η p 2 = .10,TRUE
"This preference, however, disappeared in the experimental condition, F(1, 170) = 2.32, p = .130, η p 2 = .01.",results,Results,6,6,3,09567976211049439,"F(1, 170) = 2.32",TRUE,η p 2 = .01,TRUE
"Bonferroni-corrected pairwise comparisons revealed that in the control condition, participants with positive self-views preferred positive over negative feedback, F(1, 166) = 14.27, p < .001, η p 2 = .08, whereas participants with negative self-views preferred negative over positive feedback, F(1, 166) = 6.25, p = .013, η p 2 = .04.",results,Results,10,2,6,09567976211049439,"F(1, 166) = 14.27; F(1, 166) = 6.25",TRUE,η p 2 = .08; η p 2 = .04,TRUE
"The results showed a significant two-way interaction (see Table 3) indicating that participants in the control condition preferred self-verifying feedback over self-discrepant feedback, F(1, 168) = 19.13, p < .001, η p 2 = .10, whereas participants in the experimental condition were equally willing to consider the two types of feedback, F(1, 168) = 0.33, p = .568, η p 2 = .002.",results,Results,10,3,2,09567976211049439,"F(1, 168) = 19.13; F(1, 168) = 0.33",TRUE,η p 2 = .10; η p 2 = .002,TRUE
"Mixed-effects models revealed that the senders' zygomatic activity during touch was significantly greater than baseline (EMM = .19, 95% CI = [.10, .28]), t(28) = 4.13, p < .001, and varied with the cue, F(5, 906) = 49.69, p < .001 (model estimates and CIs are shown in boxplots in Fig. 2a).",results,Facial expressions accompanying touch communication,16,3,1,09567976211059801,"F(5, 906) = 49.69",TRUE,,FALSE
"The receivers' zygomatic activity during touch was not overall significantly greater than baseline (EMM = .03, 95% CI = [-.03, .10]), t(28) = 1.02, p = .316, but did vary significantly with the cue, F(5, 920) = 7.04, p < .001 (Fig. 2a).",results,Facial expressions accompanying touch communication,16,3,2,09567976211059801,"F(5, 920) = 7.04",TRUE,,FALSE
"The senders' overall corrugator activity was not significantly different during touch compared with baseline (EMM = .06, 95% CI = [-.04, .157]), t(28) = 1.14, p = .264, but did vary significantly with cue, F(5, 891) = 8.58, p < .001 (Fig. 2b).",results,Facial expressions accompanying touch communication,16,4,1,09567976211059801,"F(5, 891) = 8.58",TRUE,,FALSE
"The receivers' overall corrugator activity was not significantly different during touch compared with baseline (EMM = -.04, 95% CI = [-.10, .03]), t(28) = -1.15, p = .262, nor did it vary with cue, F(5, 901) = 1.50, p = .188 (Fig. 2b).",results,Facial expressions accompanying touch communication,16,4,2,09567976211059801,"F(5, 901) = 1.50",TRUE,,FALSE
"Consistent with these observations, a repeated measures ANOVA with location as a repeated variable showed no effect of location on bias, F(2, 16) = 1.142, p = .344, η p 2 = .125, power = .216, and one-sample t tests comparing bias with zero were not significant for any reference position-0°: t(8) = 0.43, p = .677; 45°: t(8) = 0.055, p = .958; 90°: t(8) = 1.25, p = .247.",results,Results,12,3,2,09567976211068070,"F(2, 16) = 1.142",TRUE,η p 2 = .125,TRUE
"Consistent with these observations, a repeated measures ANOVA with location as a repeated variable showed a significant effect of location on click intensity (in decibels of sound-pressure level [db SPL]), F(2, 16) = 8.73, p = .003, η p 2 = .522, power = .934.",results,Results,12,4,2,09567976211068070,"F(2, 16) = 8.73",TRUE,η p 2 = .522,TRUE
"The regression model overall fitted the data well, R = .999, F(5, 9) = 6,822.450, p < .001.",results,Results,12,12,10,09567976211068070,"F(5, 9) = 6",TRUE,,FALSE
"The regression model overall fitted the data well, R = .999, F(5, 9) = 2386.861, p < .001.",results,Results,12,13,2,09567976211068070,"F(5, 9) = 2386.861",TRUE,,FALSE
"We found a significant main effect of pitch, F(2, 56) = 18.3, p < .001, η p 2 = .39, and a significant main effect of speechfeedback interval, F (1.22, 34.3) = 245.9, p < .001, η p 2 = .90 (Greenhouse-Geisser corrected).",results,Results,4,1,2,09567976211068880,"F(2, 56) = 18.3",TRUE,η p 2 = .39; η p 2 = .90,TRUE
"The main effect of pitch was nonsignificant, F(2, 56) = 1.04, p = .36, η p 2 = .036.",results,Results,7,1,3,09567976211068880,"F(2, 56) = 1.04",TRUE,η p 2 = .036,TRUE
"An interaction of these two factors was significant, F(4, 112) = 3.13, p = .018, η p 2 = .10.",results,Results,7,1,4,09567976211068880,"F(4, 112) = 3.13",TRUE,η p 2 = .10,TRUE
"There was not a significant main effect of rating, F(1, 27) = 2.87, p = .10, η p 2 = .096.",results,Results,9,4,12,09567976211068880,"F(1, 27) = 2.87",TRUE,η p 2 = .096,TRUE
"A two-way mixed ANOVA investigating whether performance during training differed across groups (quiet, babble; between subjects) and familiarity conditions (most familiar, moderately familiar, least familiar; within subjects) revealed no effect of group, F(1, 48) = 0.36, p = .55, ω p 2 = -.01, 95% CI = [.00, 1.00], 1 and no significant interaction between group and familiarity, F(2, 96) = 0.21, p = .81, ω p 2 = -.01, 95% CI = [.00, 1.00].",results,Training,14,1,3,0956797621991137,"F(1, 48) = 0.36; F(2, 96) = 0.21",TRUE,,FALSE
"Again, there was no effect of training group, F(1, 48) < 0.01, p = .95, ω p 2 = -.02, 95% CI = [.00, 1.00], and no interaction, F(2, 96) = 2.58, p = .08, ω p 2 = .02, 95% CI = [.00, .08].",results,Explicit recognition,15,2,3,0956797621991137,"F(2, 96) = 2.58",TRUE,,FALSE
"There was also no effect of familiarity, F(2, 96) = 0.12, p = .89, ω p 2 = -.01, 95% CI = [.00, .08].",results,Explicit recognition,15,2,4,0956797621991137,"F(2, 96) = 0.12",TRUE,,FALSE
"We confirmed with follow-up one-way ANOVAs that this was driven by a significant effect of familiarity on speech-intelligibility-benefit scores, F(2, 98) = 4.27, p = .017, ω p 2 = .04, 95% CI = [.00, .13], and a nonsignificant effect of familiarity on explicit-recognition scores, F(2, 98) = 0.15, p = .87, ω p 2 = .00, 95% CI = [.00, 1.00].",results,Dissociation between recognition and intelligibility,17,2,3,0956797621991137,"F(2, 98) = 4.27; F(2, 98) = 0.15",TRUE,,FALSE
"We replicated the effect of familiarity, F(3, 147) = 8.42, p < .001, ω p 2 = .04, 95% CI = [.00, .10], but found no main effect of trial position, F(1, 49) = 0.01, p = .91, ω p 2 = .00, 95% CI = [.00, 1.00], and no interaction between trial position and familiarity, F(3, 147) = 0.37, p = .77, ω p 2 = .00, 95% CI = [.00, 1.00].",results,No evidence for voice learning during the intelligibility task,18,1,3,0956797621991137,"F(3, 147) = 8.42; F(1, 49) = 0.01; F(3, 147) = 0.37",TRUE,,FALSE
"A three-way mixed ANOVA with the factors training group (quiet, babble), familiarity (most familiar, moderately familiar, least familiar, unfamiliar), and TMR (-6 dB, +3 dB; within subjects) revealed no effect of group, F(1, 48) = 0.20, p = .66, ω p 2 = -.02, 95% CI = [.00, 1.00], and no interactions involving group-Group × TMR: F(1, 48) = 1.19, p = .28, ω p 2 < .01, 95% CI = [.00, .09]; Group × Familiarity: F(3, 144) = 0.17, p = .91, ω p 2 = -.01, 95% CI = [.00, 1.00]; Group × Familiarity × TMR: F(3, 144) = 0.15, p = .93, ω p 2 = .00, 95% CI = [.00, 1.00].",fig,,1,,2,0956797621991137,"F(1, 48) = 0.20; F(1, 48) = 1.19; F(3, 144) = 0.17; F(3, 144) = 0.15",TRUE,,FALSE
"There was an interaction between TMR and familiarity, F(3, 144) = 7.47, p < .001, ω p 2 = .03, 95% CI = [.00, .10].",fig,,1,,3,0956797621991137,"F(3, 144) = 7.47",TRUE,,FALSE
"Overall, intelligibility was significantly better at +3 dB than at -6 dB TMR, F(1, 48) = 140.96, p < .001, ω p 2 = .59, 95% CI = [.38, .74].",fig,,1,,8,0956797621991137,"F(1, 48) = 140.96",TRUE,,FALSE
"For ERP trials that were retained, no main effect of reference was found, F(1, 45) = 0.02, p = .874, η p ² = .001.",method,EEG recording and analysis,7,2,9,0956797621995197,"F(1, 45) = 0.02",TRUE,η p ² = .001,TRUE
"For the evaluations, available trial numbers of self-and other-referent evaluations were obviously identical, F(1, 45) = 0.00, p = 1.0, η p ² < .001, but there were more incongruent positive and negative evaluations than congruent evaluations, F(1.29, 58.16) = 7.35, p = .005, η p ² = .140, post hoc ps < .001 (see Table 2).",results,Interaction ratings and evaluation congruency,10,1,1,0956797621995197,"F(1, 45) = 0.00",TRUE,η p ² < .001; η p ² = .140,TRUE
"There was a significant main effect of laterality, F(1, 45) = 14.32, p < .001, η p ² = .241; participants exhibited larger N1 amplitudes over the left than over the right sensor cluster (left: M = -1.76, SD = 1.93; right: M = -0.45, SD = 2.46).",results,ERP results,11,2,3,0956797621995197,"F(1, 45) = 14.32",TRUE,η p ² = .241,TRUE
"Additionally, there were significant interactions between congruency and laterality, F(2, 90) = 4.24, p = .017, η p ² = .086, and between reference and laterality, F(1, 45) = 5.60, p = .022, η p ² = .111.",results,EPN (260-360 ms).,12,2,6,0956797621995197,"F(2, 90) = 4.24; F(1, 45) = 5.60",TRUE,η p ² = .086; η p ² = .111,TRUE
"Effects of reference and congruency were not significant over left sensors-reference: F(1, 45) = 2.37, p = .131, η p ² = .050; congruency: F(2, 90) = 0.99, p = .377, η p ² = .021-but reached significance over right sensors-reference: F(1, 45) = 17.86, p < .001, η p ² = .284; congruency: F(2, 90) = 9.21, p < .001, η p ² = .170 (see Fig.",results,EPN (260-360 ms).,12,2,7,0956797621995197,"F(1, 45) = 2.37; F(2, 90) = 0.99; F(1, 45) = 17.86; F(2, 90) = 9.21",TRUE,η p ² = .050; η p ² = .021; η p ² = .284; η p ² = .170,TRUE
"Finally, the remaining three-way interaction among reference, congruency, and laterality remained insignificant, F(2, 90) = 1.63, p = .201, η p ² = .035.",results,EPN (260-360 ms).,12,2,9,0956797621995197,"F(2, 90) = 1.63",TRUE,η p ² = .035,TRUE
"We found a main effect of reference, F(1, 45) = 7.75, p = .008, η p ² = .147, with more negative amplitudes for self-referent evaluations.",results,EPN (260-360 ms).,12,2,12,0956797621995197,"F(1, 45) = 7.75",TRUE,η p ² = .147,TRUE
"There was a main effect of congruency, F(2, 90) = 6.26, p = .003, η p ² = .122, with larger negative amplitudes for incongruent negative (p = .02) and incongruent positive (p = .001) evaluations compared with congruent evaluations.",results,EPN (260-360 ms).,12,2,13,0956797621995197,"F(2, 90) = 6.26",TRUE,η p ² = .122,TRUE
"Finally, we observed an interaction of reference and congruency, F(2, 90) = 5.42, p = .006, η p ² = .107.",results,EPN (260-360 ms).,12,2,14,0956797621995197,"F(2, 90) = 5.42",TRUE,η p ² = .107,TRUE
"Rating showed effects of emotional evaluative information for valence, F(1, 39) = 33.92, p < .001, η p 2 = .465 (see Fig. 2); arousal, F(1, 39) = 15.00, p < .001, η p 2 = .278; and perceived threat, F(1, 39) = 37.73, p < .001, η p 2 = .492.",results,Manipulation check,11,1,3,0956797621996667,"F(1, 39) = 33.92; F(1, 39) = 15.00; F(1, 39) = 37.73",TRUE,η p 2 = .465; η p 2 = .278; η p 2 = .492,TRUE
