text,section,header,div,p,s,id,match_test,has_t,match_es,has_es
"Notably, within the visual-acquisition phase, the viewed CS+ was significantly greater than the imagined CS+, t(32) = 3.15, p = .004, d = 0.55.",results,Results,8,4,2,09567976221086513,t(32) = 3.15,TRUE,d = 0.55,TRUE
"Conversely, in the imagery-acquisition phase, the imagined CS+ was significantly greater than the viewed CS+, t(32) = 4.42, p < .001, d = 0.77.",results,Results,8,4,3,09567976221086513,t(32) = 4.42,TRUE,d = 0.77,TRUE
"Comparing the two phases, we found significantly greater self-reported fear when participants were conditioned to the viewed CS+ (visual-acquisition phase) than when they generalized to the viewed CS+ (imagery-acquisition phase), t(32) = 4.11, p < .001, d = 0.72.",results,Results,8,4,4,09567976221086513,t(32) = 4.11,TRUE,d = 0.72,TRUE
"Similarly, there was significantly greater fear reported when participants were conditioned to the imagined CS+ (imagery-acquisition phase) than when they generalized to the imagined CS+ (visual-acquisition phase), t(32) = 4.10, p < .001, d = 0.71.",results,Results,8,4,5,09567976221086513,t(32) = 4.10,TRUE,d = 0.71,TRUE
"In the visual-acquisition phase, we observed a significantly larger SCR when participants viewed the CS+ than when they viewed the CS-, t(32) = 2.21, p = .034, d = 0.38.",results,Skin conductance response.,10,2,1,09567976221086513,t(32) = 2.21,TRUE,d = 0.38,TRUE
"Importantly, we also found a significant generalization effect-there was a larger SCR when participants imagined the CS+ than when they imagined the CS-, t(32) = 2.33, p = .026, d = 0.41.",results,Skin conductance response.,10,2,2,09567976221086513,t(32) = 2.33,TRUE,d = 0.41,TRUE
"Notably, in the imagery-acquisition phase, we observed a significantly greater SCR when participants imagined the CS+ than when they imagined the CS-, t(32) = 3.18, p = .003, d = 0.55.",results,Skin conductance response.,10,3,1,09567976221086513,t(32) = 3.18,TRUE,d = 0.55,TRUE
"viewed the CS-, t(32) = 0.89, p = .382, d = 0.15.",results,Skin conductance response.,10,4,1,09567976221086513,t(32) = 0.89,TRUE,d = 0.15,TRUE
"This analysis revealed significantly greater SCR when participants viewed the CS+ than when they viewed the CS-, consistent with generalization in this subsample of participants (n = 22), t(21) = 1.81, p = .042, onetailed, d = 0.38.",results,Skin conductance response.,10,4,3,09567976221086513,t(21) = 1.81,TRUE,d = 0.38,TRUE
"Within the imagery-acquisition phase, the SCR to the imagined CS+ was significantly greater than to the viewed CS+, t(32) = 3.98, p < .001, d = 0.69.",results,Skin conductance response.,10,5,2,09567976221086513,t(32) = 3.98,TRUE,d = 0.69,TRUE
"Between phases, the conditioned response to the imagined CS+ in the imagery-acquisition phase was significantly greater than the generalization response to the imagined CS+ in the visual-acquisition phase, t(32) = 2.65, p = .01, d = 0.46.",results,Skin conductance response.,10,5,3,09567976221086513,t(32) = 2.65,TRUE,d = 0.46,TRUE
"On the other hand, the generalization effect to the viewed CS+ from the visual-acquisition phase was not significantly greater than the generalization effect to the viewed CS+ from the imagery-acquisition phase, t(32) = 2.03, p = .051, d = 0.35, though this effect might indicate a trend toward significance.",results,Skin conductance response.,10,5,4,09567976221086513,t(32) = 2.03,TRUE,d = 0.35,TRUE
"Unpacking the interaction, we found that participants reported significantly more fear when viewing the CS+ than when viewing the CS-, t(26) = 5.95, p < .001, d = 1.14.",results,Results,13,2,1,09567976221086513,t(26) = 5.95,TRUE,d = 1.14,TRUE
"Critically, participants also self-reported greater fear when imagining the CS+ than when imagining the CS-, t(26) = 4.91, p < .001, d = 0.94.",results,Results,13,2,2,09567976221086513,t(26) = 4.91,TRUE,d = 0.94,TRUE
"The test investigating effort (range = 2-7, Mdn = 6) was not significant, t(26) = 1.28, p = .21, d = 0.25; however, self-reported vividness was significantly greater when imagining the CS+ (range = 3-7, Mdn = 6) than the CS-(range = 2-7, Mdn = 5), t(26) = 2.18, p = .04, d = 0.42 (for a frequency graph, see Section 3.2.6 in the Supplemental Material).",results,Results,13,5,3,09567976221086513,t(26) = 1.28; t(26) = 2.18,TRUE,d = 0.25; d = 0.42,TRUE
"However, there was a significant main effect of CS type, F(1, 26) = 5.24, p = .03, η 2 = .01; irrespective of percept modality, SCR was greater to the CS+ (M = 0.35, SD = 0.27) than the CS-(M = 0.29, SD = 0.23), t(26) = 2.29, p = .03, d = 0.44.",results,Skin conductance response.,14,1,3,09567976221086513,t(26) = 2.29,TRUE,η 2 = .01; d = 0.44,TRUE
"There was also a significant main effect of percept modality, F(1, 26) = 7.37, p = .01, η 2 = .02; irrespective of CS type, SCR was greater during imagine trials (M = 0.37, SD = 0.25) than view trials (M = 0.28, SD = 0.25), t(26) = 2.72, p = .01, d = 0.52 (Fig. 4, bottom left; see also Sections 3.3.1 and 3.3.2 in the Supplemental Material).",results,Skin conductance response.,14,1,4,09567976221086513,t(26) = 2.72,TRUE,η 2 = .02; d = 0.52,TRUE
"Participants had larger SCRs to the viewed CS+ than the viewed CS-, t(26) = 2.13, p = .04, d = 0.41.",results,Skin conductance response.,14,1,6,09567976221086513,t(26) = 2.13,TRUE,d = 0.41,TRUE
"However, the difference between imagining the CS+ and imagining the CS-was not significant, t(26) = 1.03, p = .31, d = 0.20.",results,Skin conductance response.,14,1,7,09567976221086513,t(26) = 1.03,TRUE,d = 0.20,TRUE
"Further interrogating the interaction, we observed that participants reported significantly greater fear in response to the imagined CS+ than the imagined CS-, which indicates differential conditioning, t(25) = 4.00, p < .001, d = 0.78.",results,Results,17,2,1,09567976221086513,t(25) = 4.00,TRUE,d = 0.78,TRUE
"Furthermore, we observed significant generalization of the conditioned response: Fear was greater for the viewed CS+ than the viewed CS-, t(25) = 3.49, p = .002, d = 0.68.",results,Results,17,2,2,09567976221086513,t(25) = 3.49,TRUE,d = 0.68,TRUE
"Regarding the CS+, imagining the CS+ produced greater fear than viewing the CS+, t(25) = 4.12, p < .001, d = 0.81.",results,Results,17,3,2,09567976221086513,t(25) = 4.12,TRUE,d = 0.81,TRUE
"Imagining the CS-also produced significantly greater fear than viewing the CS-, t(25) = 2.58, p = .02, d = 0.51.",results,Results,17,3,3,09567976221086513,t(25) = 2.58,TRUE,d = 0.51,TRUE
"The test investigating effort (range = 1-7, Mdn = 6 across conditions) was not significant, t(25) = 0.34, p = .74, d = 0.07, nor was the test investigating self-reported vividness (range = 2-7, Mdn = 5.5 across conditions) when participants imagined the CS+ than when they imagined the CS-, t(25) = 0.13, p = .90, d = 0.03 (for frequency graphs, see Section 4.2.5 in the Supplemental Material).",results,Results,17,5,3,09567976221086513,t(25) = 0.34; t(25) = 0.13,TRUE,d = 0.07; d = 0.03,TRUE
"Follow-up t tests revealed a significantly greater SCR to the imagined CS+ than the imagined CS-, t(25) = 4.80, p < .001, d = 0.94.",results,Skin conductance response.,18,1,4,09567976221086513,t(25) = 4.80,TRUE,d = 0.94,TRUE
"Similarly, we observed significant generalization of fear conditioning, as indicated by larger SCRs to the viewed CS+ than the viewed CS-, t(25) = 3.67, p = .001, d = 0.72.",results,Skin conductance response.,18,1,5,09567976221086513,t(25) = 3.67,TRUE,d = 0.72,TRUE
"Imagining the CS+ produced greater SCRs than viewing the CS+, t(25) = 5.61, p < .001, d = 1.10.",results,Skin conductance response.,18,2,2,09567976221086513,t(25) = 5.61,TRUE,d = 1.10,TRUE
"Imagining the CS-also produced significantly greater SCRs than viewing the CS-, t(25) = 4.67, p < .001, d = 0.92.",results,Skin conductance response.,18,2,3,09567976221086513,t(25) = 4.67,TRUE,d = 0.92,TRUE
"Estimates in the low dot region were significantly higher when preceded by the high-boundary comparison (M = 26.5, 95% confidence interval [CI] = [25.0, 27.9]) than the low-boundary comparison (M = 24.4, 95% CI = [22.9, 25.8]), t(43) = 2.05, p = .023, d = 0.31, 95% CI = [-0.03, 0.65]; conversely, estimates in the high dot region were significantly lower following comparison with the low boundary (M = 65.8, 95% CI = [64.5, 67.1]) than the high boundary (M = 72.9, 95% CI = [71.6, 74.1]), t(42) = 7.84, p < .001, d = 1.20, 95% CI = [0.83, 1.57].",results,Results,5,4,1,09567976221089599,t(43) = 2.05; t(42) = 7.84,TRUE,d = 0.31; d = 1.20,TRUE
"3]) than the low boundary (M = 28.3, 95% CI = [27.5, 29.1]), t(135) = 2.23, p = .014, d = 0.19, 95% CI = [0, 0.38], and estimates in the high question region were significantly lower following comparison with the low boundary (M = 71.0, 95% CI = [69.9, 72.1]) than the high boundary (M = 74.5, 95% CI = [73.4, 75.6]), t(135) = 4.48, p < .001, d = 0.38, 95% CI =",fig,,5,,1,09567976221089599,t(135) = 2.23; t(135) = 4.48,TRUE,d = 0.19; d = 0.38,TRUE
"No significant gender differences emerged in initial remarks that were not questions, including remarks that were only comments (women: M = 0.20, men: M = 0.14), b = 0.05, t(187) = 0.83, p = .405, 95% CI = [-0.07, 0.18].",results,Analysis of remark content.,7,2,4,09567976221094036,t(187) = 0.83,TRUE,b = 0.05,TRUE
"There were no significant gender differences in failures to ask questions (women: M = 0.24; men: M = 0.17), b = 0.07, t(187) = 1.09, p = .276, 95% CI = [-0.06, 0.21].",results,Analysis of remark content.,7,3,2,09567976221094036,t(187) = 1.09,TRUE,b = 0.07,TRUE
"There were no significant differences by gender in the likelihood of challenging speakers (12% of men, 15% of women), b = 0.02, t(187) = 0.42, p = .676, 95% CI = [-0.09, 0.14].",results,Dominance.,8,2,2,09567976221094036,t(187) = 0.42,TRUE,b = 0.02,TRUE
"Nor were there gender differences in politeness of remarks (57% of men, 44% of women), b = -0.13, t(187) = -1.46, p = .145, 95% CI = [-0.30, 0.04].",results,Dominance.,8,2,3,09567976221094036,t(187) = -1.46,TRUE,b = -0.13,TRUE
"Of the behaviors described above, only one exhibited significant speaker-gender effects and directional consistency across the exploratory sample (reported on OSF) and the confirmatory sample (reported in this study): Attendees were more likely to engage in polite behaviors when speakers were women (66%) than men (42%), b = 0.22, t(196) = 3.20, p = .002, 95% CI = [0.09, 0.36].",results,Expected,9,1,3,09567976221094036,t(196) = 3.20,TRUE,b = 0.22,TRUE
"At the focal conference, women reported less comfort participating in Q&A sessions compared with men (women: M = 3.77, SD = 1.51; men: M = 4.76, SD = 1.38), t( 124 Women also reported less comfort participating in Q&A sessions than men in conferences generally (women: M = 3.82, SD = 1.49; men: M = 4.69, SD = 1.39), t(124) = 4.17, p < .001, d = 0.62, 95% CI = [0.32, 0.91] (see Table 4 and Fig.",results,Comfort in remarking.,15,1,2,09567976221094036,t(124) = 4.17,TRUE,d = 0.62,TRUE
"Women were also more likely to fear backlash, both at the focal conference (women: M = 2.21, SD = 1.16; men: M = 1.86, SD = 0.86), t(153) = 2.50, p = .013, d = 0.37, 95% I do not want to dominate the sessions and crowd out others.",results,for individual items).,16,1,2,09567976221094036,t(153) = 2.50,TRUE,d = 0.37,TRUE
"CI = [0.08, 0.67], and at conferences in general (women: M = 2.33, SD = 1.15; men: M = 2.00, SD = 0.90), t(150) = 2.25, p = .026, d = 0.33, 95% CI = [0.04, 0.62].",results,One on one,18,3,1,09567976221094036,t(150) = 2.25,TRUE,d = 0.33,TRUE
"Despite reporting less comfort and greater fears of backlash, women did not report holding back questions more than men (women: M = 3.35, SD = 0.81; men: M = 3.22, SD = 0.70), t(137) = 1.23, p = .219, d = 0.18, 95% CI = [-0.11, 0.47].",results,One on one,18,4,2,09567976221094036,t(137) = 1.23,TRUE,d = 0.18,TRUE
"Using the discomfort composite, women reported that discomfort impacted why they held back questions more than men (women: M = 2.99, SD = 0.94; men: M = 2.52, SD = 0.94), t(402) = 5.35, p < .001, d = 0.48, 95% CI = [0.30, 0.66].",results,Conceptual replication.,20,1,2,09567976221094036,t(402) = 5.35,TRUE,d = 0.48,TRUE
") = 1.07, p = .286, d = 0.19, 95% CI = [-0.16, 0.54]; follow-up remarks (women: M = 0.37, SD = 0.70; men: M = 0.34, SD = 0.64), t(60) = -0.23, p = .818, d = -0.04, 95% CI = [-0.39, 0.31]; or total remarks (women: M = 1.54, SD = 0.71; men: M = 1.59, SD = 0.86), t(76) = 0.39, p = .698, d = 0.07, 95% CI = [-0.28, 0.41].",fig,,0,,1,09567976221094036,t(60) = -0.23; t(76) = 0.39,TRUE,d = 0.19; d = -0.04; d = 0.07,TRUE
") = -221.294, two-tailed p < .001, r = -.831, 95% confidence interval (CI) = [-.834, -.829]; Study 2: b = -0.752, SE = 0.003, t(44674) = -254.224, two-tailed p < .001, r = -.769, 95% CI = [-.771, -.767]-and ultimatum game-Study 1: b = -0.722, SE = 0.003, t(21898) = -213.287, two-tailed p < .001, r = -.822, 95% CI = [-.824, -.819]; Study 2: b = -0.793, SE = 0.003, t(44674) = -268.018, two-tailed p < .001, r = -.785, 95% CI = [-.787, -.783].",fig,,1,,1,09567976221094782,t(44674) = -254.224; t(21898) = -213.287; t(44674) = -268.018,TRUE,r = -.831; b = -0.752; r = -.769; b = -0.722; r = -.822; b = -0.793; r = -.785,TRUE
"However, group-level performance was not above chance on any of the streams, and thus analyses relating learning to shifts in RT were not carried out-simplest stream (TP = 1): 46.5% correct, t(74) = -2.19, p = .03; simple stream (TP = 0.8): 47.5% correct, t(74) = -1.82, p = .07; complex stream (TP = 0.4): 50.6% correct, t(74) = 0.41, p = .69; note that the one significant test here reflects below-chance performance levels, which are most likely spurious.",results,Results,7,4,3,09567976221114055,t(74) = -2.19; t(74) = -1.82; t(74) = 0.41,TRUE,,FALSE
"Average performance on this task was 75% correct responses overall, which was significantly better than chance, t(44) = 10.26, p < .001, with only 4 of 45 participants scoring below chance (23/42 test questions correct; see Fig.",method,Method,9,5,11,09567976221114055,t(44) = 10.26,TRUE,,FALSE
"In fact, our participants looked around quite a bit-an average of 1.21 locations (of top, right, bottom, and left) per trial, which is significantly greater than 1 location per trial, t(44) = 2.99, p < .01; when we excluded trials on which participants fixated on no target locations, the average number of fixated locations was 1.51.",method,Method,9,8,6,09567976221114055,t(44) = 2.99,TRUE,,FALSE
"As in Experiment 1, the off-line alternative-forcedchoice performance from the main task showed no evidence of learning at the group level-simplest stream (TP = 1): 51.8% correct, t(44) = 0.91, p = .37; simple stream (TP = 0.8): 51.5% correct, t(44) = 0.77, p = .44; complex stream (TP = 0.4): 49.9% correct, t(44) = -0.08, p = .94.",results,Results,11,1,1,09567976221114055,t(44) = 0.91; t(44) = 0.77; t(44) = -0.08,TRUE,,FALSE
"Students in the intervention group were comparable with students in the control group regarding test anxiety, t(307) = 0.67, p = .505, performance during exam preparation, t(307) = 0.47, p = .642, performance in the mock exams, t(307) = 0.59, p = .559, and exam performance, t(307) = 1.17, p = .241.",method,Statement of Relevance,4,2,3,09567976221119391,t(307) = 0.67; t(307) = 0.47; t(307) = 0.59; t(307) = 1.17,TRUE,,FALSE
"These subsequent pairwise comparisons revealed that the sounds corresponding to anchor object A shifted responses toward that side of the object-morph continuum and away from responses on unrelated trials, t(18) = -2.16, p = .044, Cohen's d z = 0.50, 95% confidence interval (CI) = [0.031, 0.959], whereas sounds corresponding to object B shifted responses in the opposite direction with roughly equal magnitude, t(18) = 2.57, p = .019, Cohen's d z = 0.59, 95% CI = [0.199, 0.979] (see Fig. 2b).",results,Results,5,1,5,09567976221121348,t(18) = -2.16; t(18) = 2.57,TRUE,,FALSE
"Participants were faster, on average, when they heard a related sound (1,638 ms) compared with an unrelated sound (1,682 ms), t(18) = 2.47, p = .023, Cohen's d z = 0.57, 95% CI = [0.198, 0.936].",results,Results,5,1,7,09567976221121348,t(18) = 2.47,TRUE,,FALSE
"6.07), t(18) = 0.39, p = .7, Cohen's d z = 0.089, 95% CI = [0.086, 0.093], Bayes factor favoring the null over the alternative hypothesis (BF 01 ) = 3.94.",results,Results,5,1,9,09567976221121348,t(18) = 0.39,TRUE,,FALSE
"Next, we found that sounds had a reliable effect on report error, F(2, 78) = 11.23, p < .001, η 2 = .22, and that related sounds shifted responses away from the average error on unrelated trials and toward the visual features of anchor object A, t(39) = -2.58, p = .014, Cohen's d z = 0.41, 95% CI = [-0.20, 1.02], and object B, t(29) = 2.77, p = .01, Cohen's d z = 0.42, 95% CI = [-0.31, 1.16] (Fig.",results,Results,5,2,5,09567976221121348,t(39) = -2.58; t(29) = 2.77,TRUE,η 2 = .22,TRUE
"RT from the visual discrimination phase was again faster when sounds were related to the target morph (M = 1,798 ms) than when they were unrelated (M = 1,860 ms), t(39) = 3.22, p = 0.003, Cohen's d z = 0.51, 95% CI = [0.12, 0.89], and like before, this difference in RT did not result in a reliable difference in accuracy (Ms = 6.83 vs.",results,Results,5,2,7,09567976221121348,t(39) = 3.22,TRUE,,FALSE
"6.84), t(39) = 0.03, p = .98, Cohen's d z = 0.004, 95% CI = [-0.001, 0.009], BF 01 = 5.86.",results,Results,5,2,8,09567976221121348,t(39) = 0.03,TRUE,,FALSE
"Following up, we found that sounds had no significant impact on report error, F(2, 78) = 0.38, p = .69, η 2 = .009 (Fig. 3b), and as expected, RT on related (M = 1,911 ms) and unrelated trials (M = 1,906 ms) was not significantly different, t(39) = 0.29, p = .77, Cohen's d z = 0.04, 95% CI = [-0.379, 0.286], BF 01 = 5.63 (Fig. 3d).",results,Results,8,1,2,09567976221121348,t(39) = 0.29,TRUE,η 2 = .009,TRUE
"Report error on neither sound A trials, t(39) = 0.82, p = .42, Cohen's d z = 0.12, 95% CI = [-0.362, 0.621], nor sound B trials, Fig.",results,Results,8,1,4,09567976221121348,t(39) = 0.82,TRUE,,FALSE
"t(39) = 0.24, p = .81, Cohen's d z = 0.03, 95% CI = [-0.831, 0.755], was significant, and we found compelling evidence to support these null findings (BF 01 = 4.28 and 5.70, respectively).",results,Results,8,2,1,09567976221121348,t(39) = 0.24,TRUE,,FALSE
"To explore the interaction, we compared the effect of sound on report error and found that sounds produced a significantly larger effect when they were played during the visual discrimination phase compared with when they were played during the continuous report phase, t(84) = 2.34, p = .021, Cohen's d z = 0.25, 95% CI = [-1.425, 1.934] (see Fig. 3c).",results,Results,8,3,4,09567976221121348,t(84) = 2.34,TRUE,,FALSE
"When participants heard sounds during the visual discrimination phase, we found that related sounds shift responses toward anchor object A, t(84) = 2.30, p = .024, Cohen's d z = 0.25, 95% CI = [-1.696, 1.198], and object B, t(84) = 2.96, p = .004, Cohen's d z = 0.32, 95% CI = [-0.668, 1.309].",results,Results,8,4,2,09567976221121348,t(84) = 2.30; t(84) = 2.96,TRUE,,FALSE
"However, and in contrast to these findings, when participants heard sounds during the continuous report phase (Fig. 3d), we found that error on unrelated trials was not significantly different from error on sound A trials, t(84) = 1.56, p = 0.12, Cohen's d z = 0.16, 95% CI = [-1.043, 0.705], BF 01 = 2.61, and sound B trials, t(84) = 1.42, p = .16, Cohen's d z = 0.15, 95% CI = [-0.51, 0.818], BF 01 = 3.18.",results,Results,8,4,4,09567976221121348,t(84) = 1.56; t(84) = 1.42,TRUE,,FALSE
"Participants were significantly faster on related trials (M = 1,779 ms) compared with unrelated trials (M = 1,852 ms), t(84) = 4.05, p < .001, Cohen's d z = 0.44, 95% CI = [0.079, 0.7996] (Fig. 3e, blue bars), when sounds played during the visual discrimination phase, and this difference in RT did not lead to significant differences in accuracy (Ms = 7.76 vs.",results,Results,8,5,2,09567976221121348,t(84) = 4.05,TRUE,,FALSE
"7.31), t(84) = 1.21, p = .23, Cohen's d z = 0.13, 95% CI = [-0.875, 0.612], BF 01 = 4.13 (see Fig. 3e).",results,Results,8,5,3,09567976221121348,t(84) = 1.21,TRUE,,FALSE
"As expected, we observed no significant difference in RT between the related (M = 1,899 ms) and unrelated (M = 1,903 ms) conditions when sounds were played during the continuous report phase, t(84) = 0.25, p = .80, Cohen's d z = 0.03, 95% CI = [-0.287, 0.343], BF 01 = 7.99 (Fig. 3e, purple bars).",results,Results,8,5,4,09567976221121348,t(84) = 0.25,TRUE,,FALSE
"Overall, RT was on average slower when sounds were played during the continuous report phase compared with the visual discrimination phase, but this difference in RT (i.e., having target images with lower levels of noise) was not statistically significant, t(84) = 1.58, p = .12, Cohen's d z = 0.17, 95% CI = [-0.817, 0.475], BF 01 = 2.55, and the numerical difference in RT did not lead to a significant difference in report error across sound-onset conditions (Ms = 7.38 vs.",results,Results,8,6,1,09567976221121348,t(84) = 1.58,TRUE,,FALSE
"7.54), t(84) = 0.62, p = .54, Cohen's d z = 0.06, 95% CI = [-0.85, 0.725], BF 01 = 6.94.",results,Results,8,6,2,09567976221121348,t(84) = 0.62,TRUE,,FALSE
"We found that sounds did not have a significant impact on report error, F(2, 78) = 2.08, p = .13, η 2 = .05 (Fig. 4b), and we did not find a significant RT benefit for related sounds (Ms = 2,008 vs. 2,037 ms), t(39) = 1.73, p = .09, Cohen's d z = 0.27, 95% CI = [-0.073, 0.619], BF 01 = 1.50 (Fig. 4c).",results,Results,11,1,2,09567976221121348,t(39) = 1.73,TRUE,η 2 = .05,TRUE
"Preplanned t tests of report error further demonstrated that error on unrelated trials was not significantly different from error on sound A trials, t(39) = 1.19, p = 0.24, Cohen's d z = 0.18, 95% CI = [-0.593, 0.968], BF 01 = 3.04, or sound B trials, t(39) = 0.64, p = .53, Cohen's d z = 0.10, 95% CI = [-0.725, 0.927], BF 01 = 4.84.",results,Results,11,1,3,09567976221121348,t(39) = 1.19; t(39) = 0.64,TRUE,,FALSE
"As shown in Figure 2a, results revealed an influence of flashing rhythm in participants' judgments, F(2, 68) = 3.50, p = .036, η p 2 = .093, with Bayes factor (BF) analysis (BF 10 = 5.85) indicating moderate evidence in favor of the alternative hypothesis (Dienes, 2014;Quintana & Williams, 2018) [29.58, 32.60]), t(34) = -2.33, p = .026, Cohen's d = 0.39, rhythms (see Fig. 2a).",results,Results,6,1,3,09567976221131519,t(34) = -2.33,TRUE,η p 2 = .093; Cohen's d = 0.39,TRUE
"No difference between other-fast and other-slow trials was observed, t(34) = -0.35, p = .73, Cohen's d = 0.059.",results,Results,6,1,4,09567976221131519,t(34) = -0.35,TRUE,Cohen's d = 0.059,TRUE
"This is explained by lower trustworthiness ratings for faces in the [43.75, 47.43]), t(28) = -2.69, p = .012, Cohen's d = 0.50) conditions (see Fig. 2b).",results,Results,9,1,3,09567976221131519,t(28) = -2.69,TRUE,Cohen's d = 0.50,TRUE
"There was no difference in the ratings given to faces in the other-slow and other-fast conditions, t(28) = 1.44, p = .16, Cohen's d = 0.27.",results,Results,9,1,4,09567976221131519,t(28) = 1.44,TRUE,Cohen's d = 0.27,TRUE
"People less often chose faces synchronized with their own heart as more trustworthy (M = 28.26, SD = 3.66, 95% confidence interval [CI] = [27.00, 29.51]) than faces synchronized with other-slow (M = 30.66, SD = 3.72, 95% CI = [29.38, 31.93]), t(34) = -2.40, p = .022, Cohen's d = 0.40, and other-fast (M = 31.08, SD = 4.39, 95% CI =",fig,,1,,2,09567976221131519,t(34) = -2.40,TRUE,Cohen's d = 0.40,TRUE
"systole-self condition (M = 43.85, SD = 5.88, 95% CI = [41.62.00, 46.09]) compared with those in the other-slow (M = 46.40, SD = 5.30, 95% CI = [44.38, 48.41]), t(28) = -3.78, p = .001, Cohen's d = 0.70, and other-fast (M = 45.59, SD = 4.84, 95% CI =",fig,,4,,1,09567976221131519,t(28) = -3.78,TRUE,Cohen's d = 0.70,TRUE
"The difference was 24% at Time 1, t(166.78) = 7.83, p < .001; 17% at Time 2, t(166.78) = 5.44, p < .001; 14% at Time 3, t(167.46) = 4.26, p < .001; and 9% at Time 4, t(166.31) = 2.76, p = .006.",results,Results,9,4,8,09567976221131520,t(166.78) = 7.83; t(166.78) = 5.44; t(167.46) = 4.26; t(166.31) = 2.76,TRUE,,FALSE
"Participants were more likely to believe that a hidden cause resulted in negative outcomes, as opposed to positive outcomes, overall, t(71) = 4.71, p < .001, d = 0.55, 95% CI = [0.08, 0.20].",results,Behavioral analyses,2,1,2,09567976221139496,t(71) = 4.71,TRUE,d = 0.55,TRUE
"Importantly, participants were more likely to believe that the hidden agent had intervened after negative than after positive outcomes in the adversarial condition, t(71) = 17.56, p < .001, d = 2.07, 95% CI = [0.54, 0.67], and after positive than after negative outcomes in the benevolent condition, t(71) = -10.38, p < .001, d = 1.22, 95% CI = [-0.49, -0.33].",results,Behavioral analyses,2,1,3,09567976221139496,t(71) = 17.56; t(71) = -10.38,TRUE,d = 2.07; d = 1.22,TRUE
"Participants were also slightly more likely to believe that the hidden agent had intervened after negative outcomes in the neutral condition, t(71) = 2.22, p = .03, d = 0.26, 95% CI = [0.01, 0.22].",results,Behavioral analyses,2,1,4,09567976221139496,t(71) = 2.22,TRUE,d = 0.26,TRUE
"As shown in Figure 3a, participants generally learned more from positive than from negative outcomes across all conditions, t(71) = 3.10, p < .01, d = 0.37, 95% CI = [0.00, 0.01].",results,Computational modeling,3,1,2,09567976221139496,t(71) = 3.10,TRUE,d = 0.37,TRUE
"By treating the positivity bias in the neutral condition, t(71) = 2.17, p = .03, d = 0.25, 95% CI = [0.00, 0.02], as a participant-specific baseline and subtracting it from the other conditions, we obtained a relative measure of learning rates for the adversarial and benevolent conditions (Fig. 3b), revealing an underlying sensitivity to condition and valence.",results,Computational modeling,3,1,3,09567976221139496,t(71) = 2.17,TRUE,d = 0.25,TRUE
"We found that learning rates were significantly lower for trials in which participants believed that the hidden agent intervened, compared with trials in which participants believed that the hidden agent did not intervene, t(71) = 10.38, p < .001, d = 1.22, 95% CI = [0.02, 0.04] (Fig. 4a).",results,Computational modeling,3,2,3,09567976221139496,t(71) = 10.38,TRUE,d = 1.22,TRUE
"Results of Experiment 2 replicated those of Experiment 1: Participants believed that the hidden agent caused negative outcomes more often than positive outcomes across all conditions, t(254) = 6.26, p < .001, d = 0.39,",results,Behavioral analyses,5,1,1,09567976221139496,t(254) = 6.26,TRUE,d = 0.39,TRUE
"Participants were significantly more likely to believe that the hidden agent had intervened after negative compared with positive outcomes in the adversarial condition, t(254) = 43.72, p < .001, d = 2.74, 95% CI = [0.68, 0.74], and after positive compared with negative outcomes in the benevolent condition, t(254) = -21.78, p < .001, d = -1.36, 95% CI = [-0.59, -0.49].",annex,Corrigendum,6,1,2,09567976221139496,t(254) = 43.72; t(254) = -21.78,TRUE,d = 2.74; d = -1.36,TRUE
"Participants were also slightly more likely to believe that the hidden agent had intervened after negative outcomes in the neutral condition, although this effect was not significant, t(254) = 1.62, p = .11, d = 0.10, 95% CI = [-0.01, 0.12].",annex,Corrigendum,6,1,3,09567976221139496,t(254) = 1.62,TRUE,d = 0.10,TRUE
"Once again, we found that participants had significantly higher learning rates for positive outcomes than for negative outcomes, t(254) = 3.57, p < .001, d = 0.22, 95% CI = [0.00, 0.01].",annex,Computational modeling,7,1,1,09567976221139496,t(254) = 3.57,TRUE,d = 0.22,TRUE
"In a further replication of our results from Experiment 1, we also found that learning rates were significantly lower for trials in which participants believed that the hidden agent intervened, compared with trials in which they believed that the hidden agent did not intervene, t(252) = 17.55, p < .001, d = 1.10, 95% CI = [0.04, 0.05] (Fig. 4b).",annex,Computational modeling,7,1,2,09567976221139496,t(252) = 17.55,TRUE,d = 1.10,TRUE
"Compellingly, the bar plot in Figure 1b shows that contraction was reliable, on average, only for images rated as having been shot with a small aperture-t test vs. 0 on the values of the XS bin, t(121) = 2.56, p = .01, d = 0.23, M = 0.03, SE = 0.01, 95% confidence interval (CI) = [0.01, 0.06]).",results,Results,6,1,4,09567976221140341,t(121) = 2.56,TRUE,d = 0.23,TRUE
